 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  11.12.2021    Time:  14: 2:47
 Units: L = cm   , T = days , M = ng   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  18   -17.0000     -53.171 0.1634   0.6786E-01  0.1557E-02 -0.1173E+00  0.0000E+00      -1  -0.111E-02   20.00  0.1019E+01  0.0000E+00
  19   -18.0000     -53.924 0.1622   0.6438E-01  0.1520E-02 -0.1143E+00  0.0000E+00      -1  -0.108E-02   20.00  0.9898E+00  0.0000E+00
  20   -19.0000     -54.725 0.1610   0.6070E-01  0.1482E-02 -0.1110E+00  0.0000E+00      -1  -0.105E-02   20.00  0.9605E+00  0.0000E+00
  21   -20.0000     -55.585 0.1597   0.5682E-01  0.1441E-02 -0.1073E+00  0.0000E+00      -1  -0.101E-02   20.00  0.9310E+00  0.0000E+00
  22   -21.0000     -56.510 0.1583   0.5268E-01  0.1398E-02 -0.1033E+00  0.0000E+00      -1  -0.973E-03   20.00  0.9012E+00  0.0000E+00
  23   -22.0000     -57.515 0.1568   0.4822E-01  0.1351E-02 -0.9890E-01  0.0000E+00      -1  -0.932E-03   20.00  0.8710E+00  0.0000E+00
  24   -23.0000     -58.628 0.1552   0.4329E-01  0.1300E-02 -0.9451E-01  0.0000E+00      -1  -0.891E-03   20.00  0.8405E+00  0.0000E+00
  25   -24.0000     -59.910 0.1533   0.3763E-01  0.1240E-02 -0.9037E-01  0.0000E+00      -1  -0.852E-03   20.00  0.8096E+00  0.0000E+00
  26   -25.0000     -61.332 0.1518   0.3535E-01  0.1202E-02 -0.8635E-01  0.0000E+00      -1  -0.814E-03   20.00  0.7783E+00  0.0000E+00
  27   -26.0000     -62.791 0.1503   0.3322E-01  0.1163E-02 -0.8220E-01  0.0000E+00      -1  -0.775E-03   20.00  0.7467E+00  0.0000E+00
  28   -27.0000     -64.284 0.1488   0.3105E-01  0.1123E-02 -0.7790E-01  0.0000E+00      -1  -0.734E-03   20.00  0.7146E+00  0.0000E+00
  29   -28.0000     -65.812 0.1473   0.2884E-01  0.1083E-02 -0.7344E-01  0.0000E+00      -1  -0.692E-03   20.00  0.6819E+00  0.0000E+00
  30   -29.0000     -67.381 0.1457   0.2659E-01  0.1042E-02 -0.6881E-01  0.0000E+00      -1  -0.649E-03   20.00  0.6487E+00  0.0000E+00
  31   -30.0000     -68.993 0.1441   0.2430E-01  0.1000E-02 -0.6397E-01  0.0000E+00      -1  -0.603E-03   20.00  0.6147E+00  0.0000E+00
  32   -31.0000     -70.651 0.1424   0.2196E-01  0.9575E-03 -0.5886E-01  0.0000E+00      -1  -0.555E-03   20.00  0.5798E+00  0.0000E+00
  33   -32.0000     -72.361 0.1407   0.1954E-01  0.9135E-03 -0.5374E-01  0.0000E+00      -1  -0.506E-03   20.00  0.5436E+00  0.0000E+00
  34   -33.0000     -74.168 0.1389   0.1696E-01  0.8664E-03 -0.4897E-01  0.0000E+00      -1  -0.462E-03   20.00  0.5063E+00  0.0000E+00
  35   -34.0000     -76.154 0.1370   0.1432E-01  0.8168E-03 -0.4471E-01  0.0000E+00      -1  -0.421E-03   20.00  0.4681E+00  0.0000E+00
  36   -35.0000     -78.239 0.1356   0.1337E-01  0.7869E-03 -0.4080E-01  0.0000E+00      -1  -0.385E-03   20.00  0.4292E+00  0.0000E+00
  37   -36.0000     -80.249 0.1343   0.1246E-01  0.7580E-03 -0.3703E-01  0.0000E+00      -1  -0.349E-03   20.00  0.3901E+00  0.0000E+00
  38   -37.0000     -82.175 0.1330   0.1158E-01  0.7303E-03 -0.3342E-01  0.0000E+00      -1  -0.315E-03   20.00  0.3507E+00  0.0000E+00
  39   -38.0000     -84.009 0.1318   0.1075E-01  0.7040E-03 -0.2999E-01  0.0000E+00      -1  -0.283E-03   20.00  0.3114E+00  0.0000E+00
  40   -39.0000     -85.744 0.1306   0.9962E-02  0.6790E-03 -0.2676E-01  0.0000E+00      -1  -0.252E-03   20.00  0.2723E+00  0.0000E+00
  41   -40.0000     -87.372 0.1295   0.9220E-02  0.6556E-03 -0.2376E-01  0.0000E+00      -1  -0.224E-03   20.00  0.2339E+00  0.0000E+00
  42   -41.0000     -88.885 0.1285   0.8530E-02  0.6338E-03 -0.2099E-01  0.0000E+00      -1  -0.198E-03   20.00  0.1967E+00  0.0000E+00
  43   -42.0000     -90.280 0.1276   0.7895E-02  0.6137E-03 -0.1846E-01  0.0000E+00      -1  -0.174E-03   20.00  0.1614E+00  0.0000E+00
  44   -43.0000     -91.549 0.1268   0.7317E-02  0.5954E-03 -0.1617E-01  0.0000E+00      -1  -0.152E-03   20.00  0.1289E+00  0.0000E+00
  45   -44.0000     -92.687 0.1260   0.6797E-02  0.5790E-03 -0.1414E-01  0.0000E+00      -1  -0.133E-03   20.00  0.9995E-01  0.0000E+00
  46   -45.0000     -93.698 0.1253   0.6332E-02  0.5643E-03 -0.1243E-01  0.0000E+00      -1  -0.117E-03   20.00  0.7504E-01  0.0000E+00
  47   -46.0000     -94.603 0.1247   0.5911E-02  0.5510E-03 -0.1105E-01  0.0000E+00      -1  -0.104E-03   20.00  0.5451E-01  0.0000E+00
  48   -47.0000     -95.429 0.1242   0.5528E-02  0.5388E-03 -0.9996E-02  0.0000E+00      -1  -0.942E-04   20.00  0.3838E-01  0.0000E+00
  49   -48.0000     -96.173 0.1238   0.5421E-02  0.5331E-03 -0.9167E-02  0.0000E+00      -1  -0.864E-04   20.00  0.2626E-01  0.0000E+00
  50   -49.0000     -96.807 0.1236   0.5333E-02  0.5284E-03 -0.8463E-02  0.0000E+00      -1  -0.798E-04   20.00  0.1750E-01  0.0000E+00
  51   -50.0000     -97.344 0.1233   0.5260E-02  0.5243E-03 -0.7868E-02  0.0000E+00      -1  -0.742E-04   20.00  0.1137E-01  0.0000E+00
