	Time	cvTop	cvBot	Sum(cvTop)	Sum(cvBot)	cvCh0	cvCh1	cTop	cRoot	cBot	cvRoot	Sum(cvRoot)	Sum(cvNEql)	TLevel	cGWL	cRunOff	Sum(cRunOff)	"(cv(i),"	"Sum(cv(i)),"	"i=1,NObs)"
	[T]	[M/L2/T]	[M/L2/T]	[M/L2]	[M/L2]	[M/L2]	[M/L2]	[M/L3]	[M/L3]	[M/L3]	[M/L2/T]	[M/L2]	[M/L2]	[M/L3]	[M/L2]	[M/L3]	[M/L2/T]	[M/L2]		
	11.6368	1.47E+01	0.00E+00	1.71E+02	0.00E+00	0.00E+00	0.00E+00	1.33E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	90	0.00E+00	0.00E+00	0.00E+00			
	11.8413	1.47E+01	0.00E+00	1.74E+02	0.00E+00	0.00E+00	0.00E+00	1.34E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	91	0.00E+00	0.00E+00	0.00E+00			
	12.0459	1.47E+01	0.00E+00	1.77E+02	0.00E+00	0.00E+00	0.00E+00	1.35E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	92	0.00E+00	0.00E+00	0.00E+00			
	12.2505	1.47E+01	0.00E+00	1.80E+02	0.00E+00	0.00E+00	0.00E+00	1.36E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	93	0.00E+00	0.00E+00	0.00E+00			
	12.4551	1.47E+01	0.00E+00	1.83E+02	0.00E+00	0.00E+00	0.00E+00	1.37E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	94	0.00E+00	0.00E+00	0.00E+00			
	12.6597	1.47E+01	0.00E+00	1.86E+02	0.00E+00	0.00E+00	0.00E+00	1.38E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	95	0.00E+00	0.00E+00	0.00E+00			
	12.8643	1.47E+01	0.00E+00	1.89E+02	0.00E+00	0.00E+00	0.00E+00	1.39E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	96	0.00E+00	0.00E+00	0.00E+00			
	13.0689	1.47E+01	0.00E+00	1.92E+02	0.00E+00	0.00E+00	0.00E+00	1.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	97	0.00E+00	0.00E+00	0.00E+00			
	13.2735	1.47E+01	0.00E+00	1.95E+02	0.00E+00	0.00E+00	0.00E+00	1.41E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	98	0.00E+00	0.00E+00	0.00E+00			
	13.4781	1.47E+01	0.00E+00	1.98E+02	0.00E+00	0.00E+00	0.00E+00	1.42E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	99	0.00E+00	0.00E+00	0.00E+00			
	13.6827	1.47E+01	0.00E+00	2.01E+02	0.00E+00	0.00E+00	0.00E+00	1.42E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	0.00E+00	0.00E+00	0.00E+00			
	13.8873	1.47E+01	0.00E+00	2.04E+02	0.00E+00	0.00E+00	0.00E+00	1.43E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	101	0.00E+00	0.00E+00	0.00E+00			
	14.0919	1.47E+01	0.00E+00	2.07E+02	0.00E+00	0.00E+00	0.00E+00	1.44E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	102	0.00E+00	0.00E+00	0.00E+00			
	14.2965	1.47E+01	0.00E+00	2.10E+02	0.00E+00	0.00E+00	0.00E+00	1.45E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	103	0.00E+00	0.00E+00	0.00E+00			
	14.5011	1.47E+01	0.00E+00	2.13E+02	0.00E+00	0.00E+00	0.00E+00	1.46E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	104	0.00E+00	0.00E+00	0.00E+00			
	14.7057	1.47E+01	0.00E+00	2.16E+02	0.00E+00	0.00E+00	0.00E+00	1.47E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	105	0.00E+00	0.00E+00	0.00E+00			
	14.9103	1.47E+01	0.00E+00	2.19E+02	0.00E+00	0.00E+00	0.00E+00	1.48E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	106	0.00E+00	0.00E+00	0.00E+00			
	15.1148	1.47E+01	0.00E+00	2.22E+02	0.00E+00	0.00E+00	0.00E+00	1.48E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	107	0.00E+00	0.00E+00	0.00E+00			
	15.3194	1.47E+01	0.00E+00	2.25E+02	0.00E+00	0.00E+00	0.00E+00	1.49E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	108	0.00E+00	0.00E+00	0.00E+00			
	15.524	1.47E+01	0.00E+00	2.28E+02	0.00E+00	0.00E+00	0.00E+00	1.50E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	109	0.00E+00	0.00E+00	0.00E+00			
	15.7286	1.47E+01	0.00E+00	2.31E+02	0.00E+00	0.00E+00	0.00E+00	1.51E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	110	0.00E+00	0.00E+00	0.00E+00			
